fecha,region,codigo_iso,casos,fallecidos
2020-03-19,Metropolitana,CL-RM,247,0
2020-03-19,O’Higgins,CL-LI,2,0
2020-03-19,Maule,CL-ML,14,0
2020-03-19,Ñuble,CL-NB,28,0
2020-03-19,Biobío,CL-BI,14,0
2020-03-19,Araucanía,CL-AR,7,0
2020-03-19,Los Ríos,CL-LR,1,0
2020-03-19,Los Lagos,CL-LL,16,0
2020-03-19,Aysén,CL-AI,1,0
2020-03-19,Magallanes,CL-MA,2,0
2020-03-20,Arica y Parinacota,CL-AP,1,0
2020-03-20,Antofagasta,CL-AN,6,0
2020-03-20,Atacama,CL-AT,1,0
2020-03-20,Coquimbo,CL-CO,3,0
2020-03-20,Valparaíso,CL-VS,5,0
2020-03-20,Metropolitana,CL-RM,304,0
2020-03-20,O’Higgins,CL-LI,6,0
2020-03-20,Maule,CL-ML,14,0
2020-03-20,Ñuble,CL-NB,44,0
2020-03-20,Biobío,CL-BI,19,0
2020-03-20,Araucanía,CL-AR,9,0
2020-03-20,Los Ríos,CL-LR,1,0
2020-03-20,Los Lagos,CL-LL,18,0
2020-03-20,Aysén,CL-AI,1,0
2020-03-20,Magallanes,CL-MA,2,0
2020-03-21,Arica y Parinacota,CL-AP,1,0
2020-03-21,Antofagasta,CL-AN,10,0
2020-03-21,Atacama,CL-AT,1,0
2020-03-21,Coquimbo,CL-CO,3,0
2020-03-21,Valparaíso,CL-VS,13,0
2020-03-21,Metropolitana,CL-RM,359,1
2020-03-21,O’Higgins,CL-LI,7,0
2020-03-21,Maule,CL-ML,15,0
2020-03-21,Ñuble,CL-NB,58,0
2020-03-21,Biobío,CL-BI,30,0
2020-03-21,Araucanía,CL-AR,15,0
2020-03-21,Los Ríos,CL-LR,1,0
2020-03-21,Los Lagos,CL-LL,20,0
2020-03-21,Aysén,CL-AI,1,0
2020-03-21,Magallanes,CL-MA,3,0
2020-03-22,Arica y Parinacota,CL-AP,2,0
2020-03-22,Antofagasta,CL-AN,11,0
2020-03-22,Atacama,CL-AT,1,0
2020-03-22,Coquimbo,CL-CO,5,0
2020-03-22,Valparaíso,CL-VS,16,0
2020-03-22,Metropolitana,CL-RM,409,1
2020-03-22,O’Higgins,CL-LI,8,0
2020-03-22,Maule,CL-ML,25,0
2020-03-22,Ñuble,CL-NB,64,0
2020-03-22,Biobío,CL-BI,35,0
2020-03-22,Araucanía,CL-AR,27,0
2020-03-22,Los Ríos,CL-LR,1,0
2020-03-22,Los Lagos,CL-LL,23,0
2020-03-22,Aysén,CL-AI,1,0
2020-03-22,Magallanes,CL-MA,4,0
2020-03-23,Arica y Parinacota,CL-AP,2,0
2020-03-23,Tarapacá,CL-TA,1,0
2020-03-23,Antofagasta,CL-AN,11,0
2020-03-23,Atacama,CL-AT,1,0
2020-03-23,Coquimbo,CL-CO,6,0
2020-03-23,Valparaíso,CL-VS,19,0
2020-03-23,Metropolitana,CL-RM,459,2
2020-03-23,O’Higgins,CL-LI,8,0
2020-03-23,Maule,CL-ML,28,0
2020-03-23,Ñuble,CL-NB,81,0
2020-03-23,Biobío,CL-BI,46,0
2020-03-23,Araucanía,CL-AR,40,0
2020-03-23,Los Ríos,CL-LR,4,0
2020-03-23,Los Lagos,CL-LL,33,0
2020-03-23,Aysén,CL-AI,1,0
2020-03-23,Magallanes,CL-MA,6,0
2020-03-24,Arica y Parinacota,CL-AP,2,0
2020-03-24,Tarapacá,CL-TA,4,0
2020-03-24,Antofagasta,CL-AN,13,0
2020-03-24,Atacama,CL-AT,1,0
2020-03-24,Coquimbo,CL-CO,11,0
2020-03-24,Valparaíso,CL-VS,25,0
2020-03-24,Metropolitana,CL-RM,540,2
2020-03-24,O’Higgins,CL-LI,9,0
2020-03-24,Maule,CL-ML,29,0
2020-03-24,Ñuble,CL-NB,105,0
2020-03-24,Biobío,CL-BI,73,0
2020-03-24,Araucanía,CL-AR,59,0
2020-03-24,Los Ríos,CL-LR,6,0
2020-03-24,Los Lagos,CL-LL,36,0
2020-03-24,Aysén,CL-AI,1,0
2020-03-24,Magallanes,CL-MA,8,0
2020-03-25,Arica y Parinacota,CL-AP,2,0
2020-03-25,Tarapacá,CL-TA,4,0
2020-03-25,Antofagasta,CL-AN,19,0
2020-03-25,Atacama,CL-AT,1,0
2020-03-25,Coquimbo,CL-CO,12,0
2020-03-25,Valparaíso,CL-VS,32,0
2020-03-25,Metropolitana,CL-RM,682,2
2020-03-25,O’Higgins,CL-LI,11,0
2020-03-25,Maule,CL-ML,30,0
2020-03-25,Ñuble,CL-NB,111,0
2020-03-25,Biobío,CL-BI,95,1
2020-03-25,Araucanía,CL-AR,74,0
2020-03-25,Los Ríos,CL-LR,11,0
2020-03-25,Los Lagos,CL-LL,44,0
2020-03-25,Aysén,CL-AI,1,0
2020-03-25,Magallanes,CL-MA,13,0
2020-03-26,Arica y Parinacota,CL-AP,3,0
2020-03-26,Tarapacá,CL-TA,5,0
2020-03-26,Antofagasta,CL-AN,20,0
2020-03-26,Atacama,CL-AT,1,0
2020-03-26,Coquimbo,CL-CO,13,0
2020-03-26,Valparaíso,CL-VS,44,0
2020-03-26,Metropolitana,CL-RM,746,3
2020-03-26,O’Higgins,CL-LI,14,0
2020-03-26,Maule,CL-ML,31,0
2020-03-26,Ñuble,CL-NB,114,0
2020-03-26,Biobío,CL-BI,109,1
2020-03-26,Araucanía,CL-AR,111,0
2020-03-26,Los Ríos,CL-LR,14,0
2020-03-26,Los Lagos,CL-LL,60,0
2020-03-26,Aysén,CL-AI,2,0
2020-03-26,Magallanes,CL-MA,19,0
2020-03-27,Arica y Parinacota,CL-AP,3,0
2020-03-27,Tarapacá,CL-TA,5,0
2020-03-27,Antofagasta,CL-AN,21,0
2020-03-27,Atacama,CL-AT,1,0
2020-03-27,Coquimbo,CL-CO,14,0
2020-03-27,Valparaíso,CL-VS,49,0
2020-03-27,Metropolitana,CL-RM,938,3
2020-03-27,O’Higgins,CL-LI,16,0
2020-03-27,Maule,CL-ML,32,0
2020-03-27,Ñuble,CL-NB,144,0
2020-03-27,Biobío,CL-BI,135,2
2020-03-27,Araucanía,CL-AR,143,0
2020-03-27,Los Ríos,CL-LR,22,0
2020-03-27,Los Lagos,CL-LL,63,0
2020-03-27,Aysén,CL-AI,2,0
2020-03-27,Magallanes,CL-MA,22,0
2020-03-28,Arica y Parinacota,CL-AP,3,0
2020-03-28,Tarapacá,CL-TA,5,0
2020-03-28,Antofagasta,CL-AN,25,0
2020-03-28,Atacama,CL-AT,1,0
2020-03-28,Coquimbo,CL-CO,15,0
2020-03-28,Valparaíso,CL-VS,71,0
2020-03-28,Metropolitana,CL-RM,1084,3
2020-03-28,O’Higgins,CL-LI,20,0
2020-03-28,Maule,CL-ML,37,0
2020-03-28,Ñuble,CL-NB,172,0
2020-03-28,Biobío,CL-BI,151,2
2020-03-28,Araucanía,CL-AR,177,1
2020-03-28,Los Ríos,CL-LR,27,0
2020-03-28,Los Lagos,CL-LL,93,0
2020-03-28,Aysén,CL-AI,2,0
2020-03-28,Magallanes,CL-MA,26,0
2020-03-29,Arica y Parinacota,CL-AP,4,0
2020-03-29,Tarapacá,CL-TA,6,0
2020-03-29,Antofagasta,CL-AN,27,0
2020-03-29,Atacama,CL-AT,2,0
2020-03-29,Coquimbo,CL-CO,18,0
2020-03-29,Valparaíso,CL-VS,80,0
2020-03-29,Metropolitana,CL-RM,1167,3
2020-03-29,O’Higgins,CL-LI,21,0
2020-03-29,Maule,CL-ML,42,0
2020-03-29,Ñuble,CL-NB,197,0
2020-03-29,Biobío,CL-BI,185,2
2020-03-29,Araucanía,CL-AR,205,2
2020-03-29,Los Ríos,CL-LR,40,0
2020-03-29,Los Lagos,CL-LL,104,0
2020-03-29,Aysén,CL-AI,2,0
2020-03-29,Magallanes,CL-MA,39,0
2020-03-30,Arica y Parinacota,CL-AP,6,0
2020-03-30,Tarapacá,CL-TA,8,0
2020-03-30,Antofagasta,CL-AN,35,0
2020-03-30,Atacama,CL-AT,2,0
2020-03-30,Coquimbo,CL-CO,27,0
2020-03-30,Valparaíso,CL-VS,108,0
2020-03-30,Metropolitana,CL-RM,1295,3
2020-03-30,O’Higgins,CL-LI,21,0
2020-03-30,Maule,CL-ML,54,1
2020-03-30,Ñuble,CL-NB,229,0
2020-03-30,Biobío,CL-BI,201,2
2020-03-30,Araucanía,CL-AR,247,2
2020-03-30,Los Ríos,CL-LR,47,0
2020-03-30,Los Lagos,CL-LL,128,0
2020-03-30,Aysén,CL-AI,2,0
2020-03-30,Magallanes,CL-MA,39,0
2020-03-31,Arica y Parinacota,CL-AP,6,0
2020-03-31,Tarapacá,CL-TA,10,0
2020-03-31,Antofagasta,CL-AN,35,0
2020-03-31,Atacama,CL-AT,2,0
2020-03-31,Coquimbo,CL-CO,28,0
2020-03-31,Valparaíso,CL-VS,115,1
2020-03-31,Metropolitana,CL-RM,1420,4
2020-03-31,O’Higgins,CL-LI,23,0
2020-03-31,Maule,CL-ML,62,1
2020-03-31,Ñuble,CL-NB,245,0
2020-03-31,Biobío,CL-BI,216,2
2020-03-31,Araucanía,CL-AR,302,4
2020-03-31,Los Ríos,CL-LR,58,0
2020-03-31,Los Lagos,CL-LL,151,0
2020-03-31,Aysén,CL-AI,2,0
2020-03-31,Magallanes,CL-MA,63,0
2020-04-01,Arica y Parinacota,CL-AP,6,0
2020-04-01,Tarapacá,CL-TA,10,0
2020-04-01,Antofagasta,CL-AN,39,0
2020-04-01,Atacama,CL-AT,3,0
2020-04-01,Coquimbo,CL-CO,30,0
2020-04-01,Valparaíso,CL-VS,136,1
2020-04-01,Metropolitana,CL-RM,1521,5
2020-04-01,O’Higgins,CL-LI,26,0
2020-04-01,Maule,CL-ML,71,1
2020-04-01,Ñuble,CL-NB,259,0
2020-04-01,Biobío,CL-BI,240,2
2020-04-01,Araucanía,CL-AR,343,6
2020-04-01,Los Ríos,CL-LR,64,1
2020-04-01,Los Lagos,CL-LL,181,0
2020-04-01,Aysén,CL-AI,3,0
2020-04-01,Magallanes,CL-MA,99,0
2020-04-02,Arica y Parinacota,CL-AP,7,0
2020-04-02,Tarapacá,CL-TA,12,0
2020-04-02,Antofagasta,CL-AN,47,0
2020-04-02,Atacama,CL-AT,3,0
2020-04-02,Coquimbo,CL-CO,34,0
2020-04-02,Valparaíso,CL-VS,156,1
2020-04-02,Metropolitana,CL-RM,1636,6
2020-04-02,O’Higgins,CL-LI,32,0
